,Cidade,Estado,Forma,Data,Hora,Dias_da_Semana,Dia,Mês
2723,Scottsdale,AZ,Cigar,5/26/06,05:00,Sexta-feira,26,5
2724,Tempe,AZ,Sphere,5/21/06,10:30,Domingo,21,5
2725,Phoenix,AZ,Fireball,5/21/06,03:30,Domingo,21,5
2726,Goodyear,AZ,Light,5/15/06,20:30,Segunda-feira,15,5
2727,Maricopa,AZ,Formation,5/12/06,09:30,Sexta-feira,12,5
2728,Buckeye,AZ,Light,5/4/06,21:25,Quinta-feira,4,5
2729,Scottsdale,AZ,Light,5/4/06,20:52,Quinta-feira,4,5
2730,Glendale,AZ,Sphere,5/4/06,16:00,Quinta-feira,4,5
2731,Bullhead,AZ,Changing,6/28/06,22:16,Quarta-feira,28,6
2732,Surprise,AZ,Light,6/26/06,21:18,Segunda-feira,26,6
2733,Tucson,AZ,Changing,6/20/06,21:30,Terça-feira,20,6
2734,Sedona,AZ,Light,6/19/06,22:40,Segunda-feira,19,6
2735,Miami,AZ,Light,6/18/06,08:30,Domingo,18,6
2736,Phoenix,AZ,Sphere,6/6/06,21:00,Terça-feira,6,6
2737,Sanders (rural area; 35 miles south of),AZ,Changing,6/5/06,01:30,Segunda-feira,5,6
2738,Cave Creek,AZ,Rectangle,7/31/06,21:00,Segunda-feira,31,7
2739,Mayer,AZ,Light,7/28/06,21:00,Sexta-feira,28,7
2740,Phoenix,AZ,Cigar,7/26/06,12:30,Quarta-feira,26,7
2741,Gila Bend - 14 mile west of,AZ,Circle,7/24/06,21:00,Segunda-feira,24,7
2742,Prescott Valley,AZ,Circle,7/22/06,09:00,Sábado,22,7
2743,Florence/Queen Creek,AZ,Sphere,7/21/06,04:15,Sexta-feira,21,7
2744,Tucson,AZ,Changing,7/19/06,21:24,Quarta-feira,19,7
2745,Scottsdale,AZ,Formation,7/19/06,21:00,Quarta-feira,19,7
2746,Sierra Vista,AZ,Changing,7/12/06,03:45,Quarta-feira,12,7
2747,Tucson,AZ,Changing,7/11/06,20:30,Terça-feira,11,7
2748,"Gila Indian Reservation & S. Chandler, Ocotillo area",AZ,Changing,7/11/06,08:10,Terça-feira,11,7
2749,Phoenix,AZ,Circle,7/10/06,22:00,Segunda-feira,10,7
2750,Green Valley,AZ,Formation,7/8/06,23:00,Sábado,8,7
2751,Scottsdale,AZ,Light,7/7/06,00:30,Sexta-feira,7,7
2752,Tucson,AZ,Light,7/5/06,21:45,Quarta-feira,5,7
2753,Tucson,AZ,Light,7/5/06,19:25,Quarta-feira,5,7
2754,Chandler,AZ,Triangle,8/26/06,21:22,Sábado,26,8
2755,North Phoenix/Scottsdale,AZ,Disk,8/22/06,22:00,Terça-feira,22,8
2756,Lake Havasu,AZ,Sphere,8/17/06,04:13,Quinta-feira,17,8
2757,Phoenix,AZ,Circle,8/14/06,15:45,Segunda-feira,14,8
2758,Green Valley,AZ,Formation,8/12/06,05:00,Sábado,12,8
2759,Phoenix,AZ,Formation,8/6/06,20:00,Domingo,6,8
2760,Yuma,AZ,Light,8/6/06,20:00,Domingo,6,8
2761,Scottsdale,AZ,Light,8/6/06,17:00,Domingo,6,8
2762,Avondale,AZ,Diamond,8/4/06,09:45,Sexta-feira,4,8
2763,Phoenix,AZ,Triangle,8/1/06,02:45,Terça-feira,1,8
2764,Casa Grande,AZ,Triangle,9/25/06,20:53,Segunda-feira,25,9
2765,Chandler,AZ,Chevron,9/23/06,00:30,Sábado,23,9
2766,Lake Havasu City,AZ,Rectangle,9/15/06,21:00,Sexta-feira,15,9
2767,Phoenix,AZ,Light,9/14/06,20:15,Quinta-feira,14,9
2768,Lake Havasu City,AZ,Light,9/7/06,21:00,Quinta-feira,7,9
2769,Rio Rico,AZ,Fireball,9/7/06,20:45,Quinta-feira,7,9
2770,Gila Bend,AZ,Fireball,9/5/06,21:00,Terça-feira,5,9
2771,Phoenix,AZ,Triangle,10/27/06,20:11,Sexta-feira,27,10
2772,Peoria,AZ,Light,10/18/06,21:00,Quarta-feira,18,10
2773,Phoenix,AZ,Light,10/17/06,19:15,Terça-feira,17,10
2774,Tucson,AZ,Oval,10/9/06,08:00,Segunda-feira,9,10
2775,Surprise,AZ,Light,10/7/06,01:52,Sábado,7,10
2776,Sun City (west of Phoenix),AZ,Light,10/5/06,20:30,Quinta-feira,5,10
2777,WIckenburg,AZ,Formation,10/2/06,19:53,Segunda-feira,2,10
2778,Wide Ruins,AZ,Cylinder,10/1/06,23:00,Domingo,1,10
2779,Winslow,AZ,Fireball,10/1/06,22:18,Domingo,1,10
2780,Phoenix and Saguaro Lake,AZ,Light,10/1/06,22:15,Domingo,1,10
2781,Ajo,AZ,Light,11/30/06,20:00,Quinta-feira,30,11
2782,Ajo,AZ,Light,11/30/06,20:00,Quinta-feira,30,11
2783,Ajo,AZ,Light,11/30/06,12:17,Quinta-feira,30,11
2784,Ajo (and southern Arizona),AZ,Fireball,11/30/06,12:17,Quinta-feira,30,11
2785,Tempe,AZ,Disk,11/27/06,14:15,Segunda-feira,27,11
2786,Phoenix,AZ,Cylinder,11/26/06,12:00,Domingo,26,11
2787,Phoenix,AZ,Rectangle,11/24/06,21:30,Sexta-feira,24,11
2788,Tucson,AZ,Changing,11/23/06,16:00,Quinta-feira,23,11
2789,Phoenix,AZ,Sphere,11/19/06,13:15,Domingo,19,11
2790,Phoenix,AZ,Sphere,11/18/06,15:10,Sábado,18,11
2791,Phoenix,AZ,Rectangle,11/16/06,21:50,Quinta-feira,16,11
2792,Chandler,AZ,Rectangle,11/16/06,14:20,Quinta-feira,16,11
2793,Maricopa,AZ,Oval,11/16/06,10:30,Quinta-feira,16,11
2794,Tucson,AZ,Disk,11/15/06,21:00,Quarta-feira,15,11
2795,Morristown,AZ,Oval,11/14/06,20:30,Terça-feira,14,11
2796,Phoenix,AZ,Light,11/14/06,19:40,Terça-feira,14,11
2797,Tucson,AZ,Triangle,11/8/06,04:50,Quarta-feira,8,11
2798,Tucson,AZ,Flash,11/7/06,18:00,Terça-feira,7,11
2799,Eloy,AZ,Formation,11/5/06,19:45,Domingo,5,11
2800,East Mesa,AZ,Fireball,12/31/06,16:30,Domingo,31,12
2801,Anthem,AZ,Triangle,12/24/06,00:00,Domingo,24,12
2802,Anthem,AZ,Triangle,12/24/06,00:00,Domingo,24,12
2803,Maricopa,AZ,Light,12/21/06,20:18,Quinta-feira,21,12
2804,Queen Creek,AZ,Cigar,12/21/06,10:40,Quinta-feira,21,12
2805,Yuma,AZ,Disk,12/11/06,17:00,Segunda-feira,11,12
2806,Cedar Ridge,AZ,Oval,12/9/06,15:35,Sábado,9,12
2807,Yuma,AZ,Light,12/9/06,05:35,Sábado,9,12
2808,Phoenix,AZ,Formation,12/6/06,20:58,Quarta-feira,6,12
2809,Phoenix,AZ,Triangle,12/6/06,20:00,Quarta-feira,6,12
2810,Maricopa,AZ,Triangle,12/6/06,20:00,Quarta-feira,6,12
2811,Apache Junction,AZ,Disk,12/4/06,07:00,Segunda-feira,4,12
2812,Grand Canyon,AZ,Light,12/3/06,19:00,Domingo,3,12
2813,Mesa,AZ,Light,1/28/07,20:15,Domingo,28,1
2814,Leupp,AZ,Changing,1/24/07,19:40,Quarta-feira,24,1
2815,Quartzite,AZ,Circle,1/22/07,23:00,Segunda-feira,22,1
2816,Gila Bend,AZ,Sphere,1/17/07,09:00,Quarta-feira,17,1
2817,Black Canyon City (near),AZ,Triangle,1/8/07,07:00,Segunda-feira,8,1
2818,Mesa,AZ,Circle,1/6/07,23:30,Sábado,6,1
2819,Mesa,AZ,Circle,1/6/07,23:30,Sábado,6,1
2820,Phoenix,AZ,Changing,1/6/07,01:01,Sábado,6,1
2821,Chandler (Yuma Co.?),AZ,Circle,1/4/07,22:00,Quinta-feira,4,1
2822,St. Joseph City,AZ,Formation,1/4/07,06:16,Quinta-feira,4,1
2823,Lake Havasu City,AZ,Sphere,1/1/07,21:45,Segunda-feira,1,1
2824,Marana,AZ,Triangle,2/28/07,20:00,Quarta-feira,28,2
2825,Gila Bend,AZ,Light,2/28/07,19:22,Quarta-feira,28,2
2826,in flight,AZ,Triangle,2/26/07,15:00,Segunda-feira,26,2
2827,Queen Creek,AZ,Light,2/25/07,00:26,Domingo,25,2
2828,Queen Creek,AZ,Oval,2/21/07,12:15,Quarta-feira,21,2
2829,Sierra Vista,AZ,Disk,2/15/07,19:00,Quinta-feira,15,2
2830,Tempe,AZ,Triangle,2/6/07,21:00,Terça-feira,6,2
2831,Phoenix,AZ,Formation,2/6/07,21:00,Terça-feira,6,2
2832,Prescott Valley,AZ,Triangle,2/6/07,21:00,Terça-feira,6,2
2833,Arizona City,AZ,Circle,2/6/07,20:30,Terça-feira,6,2
2834,Tucson,AZ,Light,2/6/07,20:20,Terça-feira,6,2
2835,Chandler,AZ,Triangle,2/6/07,20:05,Terça-feira,6,2
2836,Casa Grande,AZ,Light,2/6/07,20:00,Terça-feira,6,2
2837,Phoenix,AZ,Circle,2/6/07,20:00,Terça-feira,6,2
2838,Buckeye,AZ,Light,2/6/07,19:45,Terça-feira,6,2
2839,Tucson,AZ,Oval,2/6/07,13:30,Terça-feira,6,2
2840,Chandler,AZ,Circle,2/4/07,17:05,Domingo,4,2
2841,Tucson,AZ,Cigar,3/31/07,18:15,Sábado,31,3
2842,Phoenix Area,AZ,Cylinder,3/26/07,21:05,Segunda-feira,26,3
2843,Parker,AZ,Diamond,3/26/07,04:30,Segunda-feira,26,3
2844,Yuma,AZ,Fireball,3/25/07,19:00,Domingo,25,3
2845,Goodyear,AZ,Fireball,3/23/07,00:00,Sexta-feira,23,3
2846,Peoria,AZ,Fireball,3/23/07,08:10,Sexta-feira,23,3
2847,Show Low,AZ,Formation,3/22/07,01:00,Quinta-feira,22,3
2848,Phoenix,AZ,Light,3/16/07,22:30,Sexta-feira,16,3
2849,Tucson,AZ,Circle,3/15/07,14:00,Quinta-feira,15,3
2850,Tucson,AZ,Sphere,3/9/07,12:05,Sexta-feira,9,3
2851,Gila Bend/Wellton (between),AZ,Triangle,3/6/07,21:00,Terça-feira,6,3
2852,South Tucson,AZ,Formation,4/21/07,14:35,Sábado,21,4
2853,Tucson,AZ,Sphere,4/14/07,15:20,Sábado,14,4
2854,Black Canyon City,AZ,Triangle,4/6/07,20:00,Sexta-feira,6,4
2855,Queen Creek,AZ,Light,4/4/07,20:55,Quarta-feira,4,4
2856,Sierra Vista,AZ,Formation,4/3/07,20:17,Terça-feira,3,4
2857,Queen Creek,AZ,Light,4/3/07,20:00,Terça-feira,3,4
2858,Safford,AZ,Fireball,5/30/07,21:00,Quarta-feira,30,5
2859,Sedona,AZ,Cylinder,5/30/07,12:00,Quarta-feira,30,5
2860,Village of Oak Creek,AZ,Cigar,5/26/07,07:00,Sábado,26,5
2861,Chandler,AZ,Circle,5/24/07,04:00,Quinta-feira,24,5
2862,Higly,AZ,Formation,5/23/07,23:00,Quarta-feira,23,5
2863,Phoenix,AZ,Light,5/22/07,00:00,Terça-feira,22,5
2864,Surprise,AZ,Light,5/10/07,21:00,Quinta-feira,10,5
2865,Tucson,AZ,Light,5/10/07,02:00,Quinta-feira,10,5
2866,Yuma,AZ,Disk,6/30/07,22:00,Sábado,30,6
2867,Phoenix,AZ,Rectangle,6/29/07,23:00,Sexta-feira,29,6
2868,Tempe,AZ,Changing,6/25/07,16:00,Segunda-feira,25,6
2869,Lakeside,AZ,Disk,6/23/07,12:30,Sábado,23,6
2870,Maricopa,AZ,Light,6/20/07,22:00,Quarta-feira,20,6
2871,Tucson,AZ,Light,6/16/07,20:00,Sábado,16,6
2872,Buckeye,AZ,Light,6/10/07,01:24,Domingo,10,6
2873,Phoenix,AZ,Disk,7/31/07,19:00,Terça-feira,31,7
2874,Tempe,AZ,Cylinder,7/22/07,14:00,Domingo,22,7
2875,Kingman (south of),AZ,Triangle,7/13/07,22:30,Sexta-feira,13,7
2876,Peoria,AZ,Light,7/8/07,21:00,Domingo,8,7
2877,Prescott,AZ,Light,8/30/07,22:15,Quinta-feira,30,8
2878,Arizona,AZ,Triangle,8/28/07,01:00,Terça-feira,28,8
2879,Sedona,AZ,Chevron,8/27/07,21:22,Segunda-feira,27,8
2880,Arivaca,AZ,Light,8/20/07,21:00,Segunda-feira,20,8
2881,Payson,AZ,Disk,8/19/07,23:00,Domingo,19,8
2882,Prescott Valley,AZ,Fireball,8/15/07,16:00,Quarta-feira,15,8
2883,Nothing,AZ,Light,8/12/07,23:00,Domingo,12,8
2884,Tucson,AZ,Circle,8/9/07,23:30,Quinta-feira,9,8
2885,Prescott National Forest,AZ,Rectangle,8/8/07,23:00,Quarta-feira,8,8
2886,Arivaca,AZ,Light,8/7/07,23:00,Terça-feira,7,8
2887,Arizona City,AZ,Triangle,8/3/07,23:30,Sexta-feira,3,8
2888,Cottonwood,AZ,Circle,8/2/07,20:00,Quinta-feira,2,8
2889,Tempe,AZ,Triangle,9/27/07,22:00,Quinta-feira,27,9
2890,Chandler,AZ,Circle,9/27/07,05:45,Quinta-feira,27,9
2891,Lake Havasu City,AZ,Disk,9/26/07,20:15,Quarta-feira,26,9
2892,Naco (Mexico),AZ,Disk,9/22/07,10:40,Sábado,22,9
2893,Seligman,AZ,Cigar,9/21/07,09:00,Sexta-feira,21,9
2894,Chandler,AZ,Flash,9/12/07,09:20,Quarta-feira,12,9
2895,Tucson,AZ,Changing,9/11/07,09:00,Terça-feira,11,9
2896,Winslow,AZ,Sphere,9/2/07,20:37,Domingo,2,9
2897,Heber,AZ,Circle,9/2/07,19:15,Domingo,2,9
2898,Nutrioso,AZ,Sphere,9/1/07,19:00,Sábado,1,9
2899,Quartzsite,AZ,Triangle,10/30/07,21:00,Terça-feira,30,10
2900,Lake Havasu City,AZ,Circle,10/24/07,06:15,Quarta-feira,24,10
2901,Phoenix,AZ,Light,10/19/07,16:45,Sexta-feira,19,10
2902,Tucson/Marana,AZ,Light,10/15/07,23:30,Segunda-feira,15,10
2903,Heber,AZ,Fireball,10/15/07,02:00,Segunda-feira,15,10
2904,Chandler,AZ,Sphere,10/5/07,21:15,Sexta-feira,5,10
2905,Cottonwood,AZ,Triangle,10/2/07,10:00,Terça-feira,2,10
2906,Lake Havasu City,AZ,Circle,11/24/07,01:00,Sábado,24,11
2907,New River,AZ,Light,11/20/07,20:00,Terça-feira,20,11
2908,Sedona,AZ,Light,11/13/07,21:00,Terça-feira,13,11
2909,Lake Havasu City,AZ,Sphere,11/12/07,19:00,Segunda-feira,12,11
2910,Kingman,AZ,Light,11/12/07,18:00,Segunda-feira,12,11
2911,Goodyear,AZ,Changing,11/6/07,19:30,Terça-feira,6,11
2912,Phoenix/Glendale (over),AZ,Light,12/29/07,22:00,Sábado,29,12
2913,Vernon,AZ,Light,12/28/07,00:00,Sexta-feira,28,12
2914,Phoenix,AZ,Rectangle,12/27/07,17:00,Quinta-feira,27,12
2915,Tucson,AZ,Circle,12/22/07,01:30,Sábado,22,12
2916,Springerville,AZ,Light,12/14/07,19:00,Sexta-feira,14,12
2917,Window Rock,AZ,Oval,12/4/07,17:20,Terça-feira,4,12
2918,Beaver Dam,AZ,Light,12/3/07,18:45,Segunda-feira,3,12
2919,Glendale,AZ,Oval,1/26/08,20:30,Sábado,26,1
2920,Apache Junction,AZ,Cigar,1/21/08,13:00,Segunda-feira,21,1
2921,Phoenix,AZ,Circle,1/16/08,09:00,Quarta-feira,16,1
2922,Quartzsite,AZ,Flash,1/16/08,05:58,Quarta-feira,16,1
2923,Yuma (east of),AZ,Fireball,1/14/08,19:00,Segunda-feira,14,1
2924,Phoenix,AZ,Oval,1/11/08,08:30,Sexta-feira,11,1
2925,Lake Havasu City,AZ,Oval,2/27/08,21:00,Quarta-feira,27,2
2926,Green Valley,AZ,Triangle,2/26/08,21:00,Terça-feira,26,2
2927,Green Valley,AZ,Triangle,2/26/08,21:00,Terça-feira,26,2
2928,Gila Bend,AZ,Oval,2/20/08,21:30,Quarta-feira,20,2
2929,Tucson,AZ,Triangle,2/19/08,19:00,Terça-feira,19,2
2930,Tucson,AZ,Cigar,2/14/08,12:42,Quinta-feira,14,2
2931,Mesa,AZ,Sphere,2/14/08,00:00,Quinta-feira,14,2
2932,Safford & Duncan (between),AZ,Disk,2/13/08,20:15,Quarta-feira,13,2
2933,Phoenix,AZ,Light,2/13/08,18:01,Quarta-feira,13,2
2934,Mesa,AZ,Oval,2/2/08,17:45,Sábado,2,2
2935,Apache Junction,AZ,Triangle,2/1/08,15:00,Sexta-feira,1,2
2936,Mesa,AZ,Light,2/1/08,07:15,Sexta-feira,1,2
2937,Benson,AZ,Triangle,3/26/08,,Quarta-feira,26,3
2938,Phoenix,AZ,Sphere,3/25/08,21:13,Terça-feira,25,3
2939,Chandler,AZ,Triangle,3/24/08,20:10,Segunda-feira,24,3
2940,Sedona,AZ,Disk,3/24/08,16:13,Segunda-feira,24,3
2941,Scottsdale,AZ,Light,3/23/08,20:10,Domingo,23,3
2942,Litchfield Park,AZ,Oval,3/23/08,11:30,Domingo,23,3
2943,Golden Valley,AZ,Triangle,3/19/08,20:52,Quarta-feira,19,3
2944,Palominas,AZ,Light,3/19/08,19:45,Quarta-feira,19,3
2945,Scottsdale,AZ,Triangle,3/19/08,05:28,Quarta-feira,19,3
2946,Glendale,AZ,Disk,3/17/08,13:00,Segunda-feira,17,3
2947,Solome,AZ,Light,3/16/08,02:05,Domingo,16,3
2948,Phoenix,AZ,Light,3/15/08,22:40,Sábado,15,3
2949,Tucson,AZ,Fireball,3/15/08,19:00,Sábado,15,3
2950,Buckeye,AZ,Circle,3/15/08,18:43,Sábado,15,3
2951,Tempe/Chandler,AZ,Light,3/15/08,18:00,Sábado,15,3
2952,Casa Grande,AZ,Light,3/9/08,15:00,Domingo,9,3
2953,Chandler,AZ,Sphere,3/9/08,05:00,Domingo,9,3
2954,Phoenix,AZ,Sphere,3/7/08,14:00,Sexta-feira,7,3
2955,New Mexico (above; in flight),AZ,Disk,3/5/08,17:30,Quarta-feira,5,3
2956,Tucson,AZ,Triangle,3/1/08,06:00,Sábado,1,3
2957,Tucson,AZ,Light,4/30/08,22:30,Quarta-feira,30,4
2958,Scottsdale,AZ,Formation,4/29/08,23:55,Terça-feira,29,4
2959,Tucson,AZ,Light,4/24/08,14:30,Quinta-feira,24,4
2960,Casa Grande,AZ,Triangle,4/24/08,03:15,Quinta-feira,24,4
2961,Phoenix,AZ,Fireball,4/21/08,20:25,Segunda-feira,21,4
2962,Phoenix,AZ,Triangle,4/21/08,20:15,Segunda-feira,21,4
2963,Phoenix,AZ,Light,4/21/08,20:00,Segunda-feira,21,4
2964,Phoenix (north of),AZ,Formation,4/21/08,20:00,Segunda-feira,21,4
2965,Phoenix,AZ,Formation,4/21/08,20:00,Segunda-feira,21,4
2966,Phoenix,AZ,Formation,4/21/08,20:00,Segunda-feira,21,4
2967,Phoenix,AZ,Light,4/21/08,18:30,Segunda-feira,21,4
2968,Phoenix,AZ,Diamond,4/21/08,16:30,Segunda-feira,21,4
2969,Sahuarita,AZ,Circle,4/17/08,09:15,Quinta-feira,17,4
2970,El Centro (east of),AZ,Cylinder,4/16/08,16:00,Quarta-feira,16,4
2971,Chandler,AZ,Sphere,4/15/08,23:15,Terça-feira,15,4
2972,Holbrook,AZ,Sphere,4/15/08,19:45,Terça-feira,15,4
2973,Oro Valley,AZ,Circle,4/14/08,20:45,Segunda-feira,14,4
2974,Surprise,AZ,Light,4/10/08,21:45,Quinta-feira,10,4
2975,Surprise,AZ,Light,4/10/08,21:45,Quinta-feira,10,4
2976,Sedona,AZ,Cylinder,4/8/08,00:00,Terça-feira,8,4
2977,Tucson,AZ,Cigar,4/6/08,11:00,Domingo,6,4
2978,Fort Mohave,AZ,Cylinder,4/6/08,07:00,Domingo,6,4
2979,Phoenix,AZ,Light,5/28/08,23:15,Quarta-feira,28,5
2980,unknown,AZ,Cylinder,5/26/08,14:00,Segunda-feira,26,5
2981,Tucson,AZ,Disk,5/20/08,13:00,Terça-feira,20,5
2982,Tucson,AZ,Triangle,5/18/08,20:00,Domingo,18,5
2983,Phoenix,AZ,Light,5/14/08,23:38,Quarta-feira,14,5
2984,Tucson,AZ,Light,5/11/08,20:00,Domingo,11,5
2985,Sedona,AZ,Disk,5/8/08,13:00,Quinta-feira,8,5
2986,Apache Junction,AZ,Light,5/4/08,08:00,Domingo,4,5
2987,Lupton,AZ,Circle,6/30/08,10:00,Segunda-feira,30,6
2988,Willcox,AZ,Flash,6/21/08,00:00,Sábado,21,6
2989,Phoenix,AZ,Formation,6/17/08,22:03,Terça-feira,17,6
2990,Tucson,AZ,Triangle,6/17/08,21:30,Terça-feira,17,6
2991,Tucson,AZ,Triangle,6/17/08,21:30,Terça-feira,17,6
2992,Tucson,AZ,Disk,6/17/08,14:00,Terça-feira,17,6
2993,Sedona,AZ,Light,6/14/08,14:00,Sábado,14,6
2994,Phoenix,AZ,Sphere,6/13/08,13:00,Sexta-feira,13,6
2995,Tucson,AZ,Fireball,6/9/08,20:00,Segunda-feira,9,6
2996,Prescott,AZ,Triangle,6/8/08,20:15,Domingo,8,6
2997,Tucson,AZ,Changing,6/7/08,01:00,Sábado,7,6
2998,Paysone,AZ,Light,6/1/08,22:00,Domingo,1,6
2999,Flagstaff,AZ,Sphere,6/1/08,12:00,Domingo,1,6
3000,Mexican Water,AZ,Triangle,6/1/08,03:00,Domingo,1,6
3001,Yuma,AZ,Formation,7/31/08,22:16,Quinta-feira,31,7
3002,Yuma,AZ,Light,7/31/08,22:00,Quinta-feira,31,7
3003,Tucson,AZ,Circle,7/29/08,20:30,Terça-feira,29,7
3004,Phoenix,AZ,Light,7/25/08,21:45,Sexta-feira,25,7
3005,Chandler,AZ,Diamond,7/25/08,04:00,Sexta-feira,25,7
3006,Maricopa,AZ,Diamond,7/25/08,04:00,Sexta-feira,25,7
3007,Golden Valley,AZ,Fireball,7/24/08,22:00,Quinta-feira,24,7
3008,Surprise,AZ,Light,7/24/08,19:19,Quinta-feira,24,7
3009,Yuma,AZ,Formation,7/23/08,22:20,Quarta-feira,23,7
3010,Paulden,AZ,Circle,7/19/08,11:23,Sábado,19,7
3011,Phoenix,AZ,Cigar,7/15/08,19:45,Terça-feira,15,7
3012,Prescott,AZ,Oval,7/14/08,19:00,Segunda-feira,14,7
3013,Phoenix,AZ,Light,7/14/08,12:00,Segunda-feira,14,7
3014,Scottsdale,AZ,Circle,7/14/08,02:00,Segunda-feira,14,7
3015,Florence,AZ,Light,7/13/08,01:00,Domingo,13,7
3016,Surprise,AZ,Light,7/5/08,01:00,Sábado,5,7
3017,Mesa,AZ,Cigar,8/31/08,20:55,Domingo,31,8
3018,Anthem,AZ,Light,8/31/08,01:30,Domingo,31,8
3019,Yuma,AZ,Changing,8/22/08,05:05,Sexta-feira,22,8
3020,Lake Havasu City,AZ,Formation,8/19/08,20:50,Terça-feira,19,8
3021,Phoenix,AZ,Triangle,8/5/08,22:30,Terça-feira,5,8
3022,Tucson,AZ,Disk,8/5/08,19:30,Terça-feira,5,8
3023,Peoria,AZ,Fireball,8/2/08,22:00,Sábado,2,8
3024,Wickenburg,AZ,Sphere,8/1/08,22:30,Sexta-feira,1,8
3025,Village of Oak Creek,AZ,Changing,9/27/08,22:02,Sábado,27,9
3026,Tempe,AZ,Light,9/18/08,20:25,Quinta-feira,18,9
3027,Scottsdale,AZ,Changing,9/17/08,14:25,Quarta-feira,17,9
3028,Casa Grande,AZ,Oval,9/10/08,20:35,Quarta-feira,10,9
3029,Mesa,AZ,Changing,9/5/08,20:18,Sexta-feira,5,9
3030,Mesa,AZ,Light,9/2/08,21:15,Terça-feira,2,9
3031,Kingman,AZ,Light,10/31/08,19:30,Sexta-feira,31,10
3032,Mesa,AZ,Formation,10/30/08,17:30,Quinta-feira,30,10
3033,Beaver Dam,AZ,Formation,10/29/08,20:00,Quarta-feira,29,10
3034,Mesa,AZ,Triangle,10/29/08,18:45,Quarta-feira,29,10
3035,Lordsburg,AZ,Sphere,10/28/08,19:04,Terça-feira,28,10
3036,Phoenix,AZ,Triangle,10/26/08,19:40,Domingo,26,10
3037,Flagstaff,AZ,Circle,10/19/08,11:10,Domingo,19,10
3038,Tucson,AZ,Changing,10/18/08,20:30,Sábado,18,10
3039,Whiteriver,AZ,Oval,10/17/08,07:30,Sexta-feira,17,10
3040,Flagstaff,AZ,Oval,10/15/08,,Quarta-feira,15,10
3041,Yuma,AZ,Triangle,10/10/08,18:00,Sexta-feira,10,10
3042,Phoenix,AZ,Diamond,11/27/08,07:26,Quinta-feira,27,11
3043,Kingman,AZ,Rectangle,11/21/08,20:00,Sexta-feira,21,11
3044,Tucson,AZ,Circle,11/21/08,18:10,Sexta-feira,21,11
3045,Phoenix,AZ,Circle,11/21/08,17:50,Sexta-feira,21,11
3046,Phoenix,AZ,Light,11/20/08,10:15,Quinta-feira,20,11
3047,Scottsdale,AZ,Formation,11/19/08,21:40,Quarta-feira,19,11
3048,Scottsdale,AZ,Formation,11/18/08,21:42,Terça-feira,18,11
3049,Mesa,AZ,Triangle,11/11/08,18:28,Terça-feira,11,11
3050,Mesa,AZ,Circle,11/9/08,20:30,Domingo,9,11
3051,Phoenix,AZ,Sphere,11/8/08,18:30,Sábado,8,11
3052,Phoenix,AZ,Chevron,11/7/08,17:45,Sexta-feira,7,11
3053,Tucson,AZ,Triangle,11/3/08,19:10,Segunda-feira,3,11
3054,Phoenix,AZ,Sphere,11/2/08,08:27,Domingo,2,11
3055,Mesa,AZ,Fireball,12/20/08,18:00,Sábado,20,12
3056,Tucson,AZ,Light,12/18/08,08:10,Quinta-feira,18,12
3057,Marana,AZ,Sphere,12/6/08,08:45,Sábado,6,12
3058,Tucson,AZ,Sphere,12/3/08,08:31,Quarta-feira,3,12
3059,Rio Rico,AZ,Cigar,1/28/09,17:00,Quarta-feira,28,1
3060,Mesa,AZ,Light,1/25/09,08:45,Domingo,25,1
3061,Phoenix,AZ,Circle,1/18/09,19:05,Domingo,18,1
3062,Phoenix,AZ,Circle,1/18/09,06:34,Domingo,18,1
3063,Phoenix,AZ,Fireball,1/17/09,15:32,Sábado,17,1
3064,Yuma,AZ,Light,1/16/09,18:25,Sexta-feira,16,1
3065,Tucson,AZ,Light,1/16/09,16:10,Sexta-feira,16,1
3066,Queen Creek,AZ,Circle,1/15/09,14:04,Quinta-feira,15,1
3067,Chandler,AZ,Circle,1/14/09,19:33,Quarta-feira,14,1
3068,Glendale,AZ,Light,1/9/09,22:00,Sexta-feira,9,1
3069,Bullhead City,AZ,Sphere,1/4/09,20:40,Domingo,4,1
3070,Phoenix (above; in-flight sighting),AZ,Circle,2/28/09,11:20,Sábado,28,2
3071,Chino Valley,AZ,Cigar,2/26/09,20:15,Quinta-feira,26,2
3072,Fort Mohave,AZ,Light,2/22/09,20:50,Domingo,22,2
3073,Tucson,AZ,Light,2/21/09,22:15,Sábado,21,2
3074,Marana,AZ,Sphere,2/21/09,19:00,Sábado,21,2
3075,Anthem,AZ,Sphere,2/20/09,04:15,Sexta-feira,20,2
3076,Bellmont,AZ,Cigar,2/15/09,11:30,Domingo,15,2
3077,Phoenix,AZ,Disk,2/14/09,14:00,Sábado,14,2
3078,Glendale,AZ,Circle,2/14/09,11:00,Sábado,14,2
3079,Mesa,AZ,Disk,2/10/09,10:00,Terça-feira,10,2
3080,Gila Bend,AZ,Sphere,3/30/09,00:00,Segunda-feira,30,3
3081,Sierra Vista,AZ,Disk,3/27/09,13:30,Sexta-feira,27,3
3082,Payson,AZ,Light,3/25/09,19:37,Quarta-feira,25,3
3083,Interstate 8/Gila Bend Range (N of),AZ,Flash,3/23/09,20:00,Segunda-feira,23,3
3084,Tucson,AZ,Oval,3/23/09,08:00,Segunda-feira,23,3
3085,Phoenix,AZ,Disk,3/22/09,13:30,Domingo,22,3
